trade_id,open_date,symbol,days_to_expiry_at_open,spot_bought,fut_contracts,invested_usdt_est,slices_filled,slices_total,close_date,sold_spot,covered_contracts
1,2021-01-01T00:00:00+00:00,BTCUSD_210625,0.0,34.092819,10000,1000000.0,24,24,2021-06-24T00:00:00+00:00,34.092816,10008
2,2021-06-25T00:00:00+00:00,BTCUSD_210625,0.0,31.661149,10000,999999.98,24,24,2021-06-26T00:00:00+00:00,31.66116,10008
3,2021-06-27T00:00:00+00:00,BTCUSD_210924,0.0,28.818161,10000,999999.98,24,24,2021-09-23T00:00:00+00:00,28.818168,10008
1,2021-01-01T00:00:00+00:00,BTCUSD_210326,0.0,34.092819,10000,1000000.0,24,24,2021-03-25T00:00:00+00:00,34.092816,10008
1,2021-01-01T00:00:00+00:00,BTCUSD_210326,0.0,34.092819,10000,1000000.0,24,24,2021-03-25T00:00:00+00:00,34.092816,10008
2,2021-03-26T00:00:00+00:00,BTCUSD_210625,0.0,18.173362,10000,999999.97,24,24,2021-06-24T00:00:00+00:00,18.173352,10008
