date,spot_px,fut_px,spot_pos,fut_pos,spot_pnl,fut_pnl,net_pnl,nav
2021-01-02T00:00:00+00:00,32178.33,33577.83,34.092819,10000,97049.98,-131956.51,-34906.52,965093.48
2021-01-03T00:00:00+00:00,33000.05,34792.96,34.092819,10000,28014.75,-36822.07,-8807.31,956286.16
2021-01-04T00:00:00+00:00,31988.71,33502.79,34.092819,10000,-34479.43,40332.04,5852.61,962138.77
2021-01-05T00:00:00+00:00,33949.53,35611.73,34.092819,10000,66849.88,-62119.86,4730.02,966868.8
2021-01-06T00:00:00+00:00,36769.36,38718.18,34.092819,10000,96135.95,-84484.74,11651.21,978520.0
2021-01-07T00:00:00+00:00,39432.28,41457.91,34.092819,10000,90786.45,-69479.37,21307.08,999827.08
2021-01-08T00:00:00+00:00,40582.81,42409.59,34.092819,10000,39224.81,-23450.32,15774.49,1015601.57
2021-01-09T00:00:00+00:00,40088.22,42024.29,34.092819,10000,-16861.97,9611.3,-7250.67,1008350.91
2021-01-10T00:00:00+00:00,38150.020000000004,39785.92,34.092819,10000,-66078.7,58672.84,-7405.86,1000945.04
2021-01-11T00:00:00+00:00,35404.47,37055.56,34.092819,10000,-93603.54,77119.08,-16484.46,984460.58
2021-01-12T00:00:00+00:00,34051.240000000005,35636.94,34.092819,10000,-46135.43,41661.33,-4474.09,979986.49
2021-01-13T00:00:00+00:00,37371.380000000005,39215.79,34.092819,10000,113192.93,-95764.46,17428.47,997414.96
2021-01-14T00:00:00+00:00,39144.5,41159.41,34.092819,10000,60450.66,-49652.44,10798.22,1008213.18
2021-01-15T00:00:00+00:00,36742.22,38393.88,34.092819,10000,-81900.5,75268.45,-6632.05,1001581.13
2021-01-16T00:00:00+00:00,35994.979999999996,37624.98,34.092819,10000,-25475.52,21361.31,-4114.21,997466.92
2021-01-17T00:00:00+00:00,35828.61,37442.87,34.092819,10000,-5672.02,5082.81,-589.21,996877.71
2021-01-18T00:00:00+00:00,36631.270000000004,38434.4,34.092819,10000,27364.94,-27067.86,297.08,997174.8
2021-01-19T00:00:00+00:00,35891.49,37566.05,34.092819,10000,-25221.19,24193.76,-1027.43,996147.37
2021-01-20T00:00:00+00:00,35468.229999999996,36734.57,34.092819,10000,-14430.13,23442.95,9012.83,1005160.19
2021-01-21T00:00:00+00:00,30850.129999999997,31563.84,34.092819,10000,-157444.05,167608.05,10164.0,1015324.19
2021-01-22T00:00:00+00:00,32945.17,33970.28,34.092819,10000,71425.82,-73043.79,-1617.97,1013706.22
2021-01-23T00:00:00+00:00,32078.0,33146.4,34.092819,10000,-29564.27,25683.65,-3880.62,1009825.6
2021-01-24T00:00:00+00:00,32259.9,33269.52,34.092819,10000,6201.48,-3816.5,2384.98,1012210.58
2021-01-25T00:00:00+00:00,32254.2,33237.82,34.092819,10000,-194.33,982.82,788.49,1012999.07
2021-01-26T00:00:00+00:00,32467.769999999997,33344.82,34.092819,10000,7281.2,-3295.58,3985.63,1016984.7
2021-01-27T00:00:00+00:00,30366.15,30952.2,34.092819,10000,-71650.15,78792.34,7142.19,1024126.89
2021-01-28T00:00:00+00:00,33364.86,34121.27,34.092819,10000,102234.48,-94982.27,7252.21,1031379.1
2021-01-29T00:00:00+00:00,34252.2,35370.36,34.092819,10000,30251.92,-36467.44,-6215.52,1025163.58
2021-01-30T00:00:00+00:00,34262.880000000005,35155.45,34.092819,10000,364.11,6272.39,6636.5,1031800.08
2021-01-31T00:00:00+00:00,33092.979999999996,33876.4,34.092819,10000,-39885.19,38650.19,-1235.0,1030565.08
2021-02-01T00:00:00+00:00,33526.37,34430.28,34.092819,10000,14775.49,-16520.73,-1745.24,1028819.84
2021-02-02T00:00:00+00:00,35466.240000000005,36851.02,34.092819,10000,66135.64,-68254.77,-2119.13,1026700.71
2021-02-03T00:00:00+00:00,37618.869999999995,39312.92,34.092819,10000,73389.22,-65443.22,7946.0,1034646.71
2021-02-04T00:00:00+00:00,36936.66,38599.5,34.092819,10000,-23258.46,19314.69,-3943.78,1030702.94
2021-02-05T00:00:00+00:00,38290.240000000005,39890.45,34.092819,10000,46147.36,-33714.86,12432.5,1043135.44
2021-02-06T00:00:00+00:00,39186.94,41183.52,34.092819,10000,30571.03,-32997.47,-2426.44,1040709.0
2021-02-07T00:00:00+00:00,38795.69,40198.7,34.092819,10000,-13338.82,25384.78,12045.96,1052754.96
2021-02-08T00:00:00+00:00,46374.869999999995,48780.77,34.092819,10000,258395.61,-185058.63,73336.98,1126091.94
2021-02-09T00:00:00+00:00,46420.42,48739.21,34.092819,10000,1552.93,895.3,2448.22,1128540.16
2021-02-10T00:00:00+00:00,44807.58,46890.98,34.092819,10000,-54986.26,41248.15,-13738.11,1114802.05
2021-02-11T00:00:00+00:00,47969.509999999995,50388.23,34.092819,10000,107799.11,-72905.69,34893.42,1149695.48
2021-02-12T00:00:00+00:00,47287.6,49882.89,34.092819,10000,-23248.23,10686.52,-12561.71,1137133.76
2021-02-13T00:00:00+00:00,47153.69,49492.16,34.092819,10000,-4565.37,8286.31,3720.94,1140854.7
2021-02-14T00:00:00+00:00,48577.79,51047.78,34.092819,10000,48551.58,-32023.28,16528.31,1157383.01
2021-02-15T00:00:00+00:00,47911.1,50233.9,34.092819,10000,-22729.34,16987.3,-5742.05,1151640.96
2021-02-16T00:00:00+00:00,49133.45,51407.46,34.092819,10000,41673.36,-23885.15,17788.2,1169429.17
2021-02-17T00:00:00+00:00,52119.71,54778.94,34.092819,10000,101810.02,-64687.24,37122.79,1206551.95
2021-02-18T00:00:00+00:00,51552.600000000006,53926.72,34.092819,10000,-19334.38,16531.08,-2803.3,1203748.65
2021-02-19T00:00:00+00:00,55906.0,58351.75,34.092819,10000,148419.68,-79151.25,69268.42,1273017.08
2021-02-20T00:00:00+00:00,55841.19,57968.89,34.092819,10000,-2209.56,6856.23,4646.67,1277663.75
2021-02-21T00:00:00+00:00,57408.57,59827.36,34.092819,10000,53436.4,-32372.69,21063.71,1298727.46
2021-02-22T00:00:00+00:00,54087.67,55709.71,34.092819,10000,-113218.84,76129.18,-37089.66,1261637.8
2021-02-23T00:00:00+00:00,48891.0,50441.45,34.092819,10000,-177169.13,107755.21,-69413.92,1192223.88
2021-02-24T00:00:00+00:00,49676.2,51005.13,34.092819,10000,26769.68,-11347.08,15422.6,1207646.48
2021-02-25T00:00:00+00:00,47073.729999999996,48029.86,34.092819,10000,-88725.54,63204.47,-25521.07,1182125.4
2021-02-26T00:00:00+00:00,46276.869999999995,47186.75,34.092819,10000,-27167.2,18218.82,-8948.38,1173177.02
2021-02-27T00:00:00+00:00,46106.43,46899.75,34.092819,10000,-5810.78,6224.73,413.95,1173590.97
2021-02-28T00:00:00+00:00,45135.66,45760.64,34.092819,10000,-33096.29,25237.47,-7858.81,1165732.16
2021-03-01T00:00:00+00:00,49587.03,50355.05,34.092819,10000,151759.75,-92653.46,59106.29,1224838.45
2021-03-02T00:00:00+00:00,48440.649999999994,49102.63,34.092819,10000,-39083.33,25854.73,-13228.59,1211609.85
2021-03-03T00:00:00+00:00,50349.37,51137.01,34.092819,10000,65073.65,-40405.27,24668.37,1236278.22
