open_time_ms,open_time,close_time_ms,close_time,mark_open,mark_high,mark_low,mark_close,mark_hl2
1616716800000,2021-03-26T00:00:00+00:00,1616803199999,2021-03-26T23:59:59.999000+00:00,52501.21345455,60299.07417424,52427.86563636,60281.32661919,56363.4699053
1616803200000,2021-03-27T00:00:00+00:00,1616889599999,2021-03-27T23:59:59.999000+00:00,60282.08803333,62280.986,59292.11368535,61453.411,60786.549842675
1616889600000,2021-03-28T00:00:00+00:00,1616975999999,2021-03-28T23:59:59.999000+00:00,61432.753,62187.5716,60170.85,61362.4533,61179.2108
1616976000000,2021-03-29T00:00:00+00:00,1617062399999,2021-03-29T23:59:59.999000+00:00,61359.6133,64229.2909,60405.666,63377.7903,62317.478449999995
1617062400000,2021-03-30T00:00:00+00:00,1617148799999,2021-03-30T23:59:59.999000+00:00,63377.8563,67375.43531414,62742.5301,66533.78867172,65058.982707070005
1617148800000,2021-03-31T00:00:00+00:00,1617235199999,2021-03-31T23:59:59.999000+00:00,66533.78867172,68061.76556768,64858.28251818,67014.46134596,66460.02404293
1617235200000,2021-04-01T00:00:00+00:00,1617321599999,2021-04-01T23:59:59.999000+00:00,67014.5441596,67857.99306768,66117.91906616,67071.31430404,66987.95606692
1617321600000,2021-04-02T00:00:00+00:00,1617407999999,2021-04-02T23:59:59.999000+00:00,67070.03257475,69340.46214545,66571.06876515,67200.20369848,67955.7654553
1617408000000,2021-04-03T00:00:00+00:00,1617494399999,2021-04-03T23:59:59.999000+00:00,67201.42369848,68518.90267475,64553.96958434,64654.9746101,66536.436129545
1617494400000,2021-04-04T00:00:00+00:00,1617580799999,2021-04-04T23:59:59.999000+00:00,64645.58733737,66098.11883889,63750.61369646,66002.64290505,64924.366267675
1617580800000,2021-04-05T00:00:00+00:00,1617667199999,2021-04-05T23:59:59.999000+00:00,66004.58472323,68026.57629798,64223.77663636,68026.57629798,66125.17646717001
1617667200000,2021-04-06T00:00:00+00:00,1617753599999,2021-04-06T23:59:59.999000+00:00,68033.34157071,68723.29909848,65632.80019192,66103.29712121,67178.0496452
1617753600000,2021-04-07T00:00:00+00:00,1617839999999,2021-04-07T23:59:59.999000+00:00,66105.45239394,66738.28417121,62561.26237525,62962.99575808,64649.77327323001
1617840000000,2021-04-08T00:00:00+00:00,1617926399999,2021-04-08T23:59:59.999000+00:00,62962.99575808,65900.20669242,62690.30404293,65900.20669242,64295.255367675
1617926400000,2021-04-09T00:00:00+00:00,1618012799999,2021-04-09T23:59:59.999000+00:00,65894.42305606,67314.61393838,65544.08982626,66155.88322323,66429.35188232
1618012800000,2021-04-10T00:00:00+00:00,1618099199999,2021-04-10T23:59:59.999000+00:00,66158.86049596,71863.7777601,65896.03610455,69402.74506313,68879.906932325
1618099200000,2021-04-11T00:00:00+00:00,1618185599999,2021-04-11T23:59:59.999000+00:00,69405.6177904,70779.68173182,68668.54277346,69655.99350309,69724.11225264
1618185600000,2021-04-12T00:00:00+00:00,1618271999999,2021-04-12T23:59:59.999000+00:00,69655.99350309,71746.97242677,68925.49407716,69374.64573586,70336.233251965
1618272000000,2021-04-13T00:00:00+00:00,1618358399999,2021-04-13T23:59:59.999000+00:00,69374.64573586,74900.3486798,69319.70110657,74678.79066515,72110.02489318501
1618358400000,2021-04-14T00:00:00+00:00,1618444799999,2021-04-14T23:59:59.999000+00:00,74678.79066515,75890.77489798,70722.18512525,72683.78975909,73306.480011615
1618444800000,2021-04-15T00:00:00+00:00,1618531199999,2021-04-15T23:59:59.999000+00:00,72682.56456515,73780.88145303,71435.74643889,73165.80865758,72608.31394595999
1618531200000,2021-04-16T00:00:00+00:00,1618617599999,2021-04-16T23:59:59.999000+00:00,73165.80865758,73675.86809646,68298.33042929,70119.58844495,70987.09926287501
1618617600000,2021-04-17T00:00:00+00:00,1618703999999,2021-04-17T23:59:59.999000+00:00,70119.53753586,71850.82288434,67257.97225354,67993.82396717,69554.39756894001
1618704000000,2021-04-18T00:00:00+00:00,1618790399999,2021-04-18T23:59:59.999000+00:00,67991.74106313,68356.63371919,47704.19671803,61590.96679697,58030.41521861
1618790400000,2021-04-19T00:00:00+00:00,1618876799999,2021-04-19T23:59:59.999000+00:00,61591.11043333,63206.00216919,59661.54606061,61214.15414293,61433.7741149
1618876800000,2021-04-20T00:00:00+00:00,1618963199999,2021-04-20T23:59:59.999000+00:00,61215.49596111,62809.1441197,58726.39571414,62181.55572626,60767.769916920006
1618963200000,2021-04-21T00:00:00+00:00,1619049599999,2021-04-21T23:59:59.999000+00:00,62181.55572626,62724.28426263,59405.5960596,59696.39066061,61064.940161114995
1619049600000,2021-04-22T00:00:00+00:00,1619135999999,2021-04-22T23:59:59.999000+00:00,59696.39066061,62050.89283838,55600.16270859,56885.56826313,58825.527773485
1619136000000,2021-04-23T00:00:00+00:00,1619222399999,2021-04-23T23:59:59.999000+00:00,56885.56826313,57404.84161667,52248.36956162,55911.40218434,54826.605589144994
1619222400000,2021-04-24T00:00:00+00:00,1619308799999,2021-04-24T23:59:59.999000+00:00,55911.40218434,55956.69012323,53096.6002101,54537.18265404,54526.645166664995
1619308800000,2021-04-25T00:00:00+00:00,1619395199999,2021-04-25T23:59:59.999000+00:00,54527.05810859,55291.68873131,51131.20956061,53523.40494141,53211.449145959996
1619395200000,2021-04-26T00:00:00+00:00,1619481599999,2021-04-26T23:59:59.999000+00:00,53523.42312323,59606.97016667,53253.85914545,59405.74485404,56430.41465606
1619481600000,2021-04-27T00:00:00+00:00,1619567999999,2021-04-27T23:59:59.999000+00:00,59405.74485404,60865.33880505,58509.42132424,60425.84390253,59687.380064644996
1619568000000,2021-04-28T00:00:00+00:00,1619654399999,2021-04-28T23:59:59.999000+00:00,60425.84572071,62114.07095303,59220.74732677,60420.98610808,60667.4091399
1619654400000,2021-04-29T00:00:00+00:00,1619740799999,2021-04-29T23:59:59.999000+00:00,60434.14792626,60798.5098904,57407.90400455,58871.77132879,59103.206947475
1619740800000,2021-04-30T00:00:00+00:00,1619827199999,2021-04-30T23:59:59.999000+00:00,58870.97015202,63919.87501414,58335.85641212,63685.03258081,61127.86571313
1619827200000,2021-05-01T00:00:00+00:00,1619913599999,2021-05-01T23:59:59.999000+00:00,63685.03076263,64426.75985505,62954.29232374,63850.14893333,63690.526089395
1619913600000,2021-05-02T00:00:00+00:00,1619999999999,2021-05-02T23:59:59.999000+00:00,63850.14893333,63962.63594394,61479.39342929,62235.32825859,62721.014686615
1620000000000,2021-05-03T00:00:00+00:00,1620086399999,2021-05-03T23:59:59.999000+00:00,62235.77734949,65214.52588485,61691.29222374,62494.04173283,63452.909054295
1620086400000,2021-05-04T00:00:00+00:00,1620172799999,2021-05-04T23:59:59.999000+00:00,62498.99991465,62527.36086768,57292.67211717,57354.89891869,59910.016492425
1620172800000,2021-05-05T00:00:00+00:00,1620259199999,2021-05-05T23:59:59.999000+00:00,57353.75528232,63050.37219293,57051.74292121,63006.27504444,60051.05755707
1620259200000,2021-05-06T00:00:00+00:00,1620345599999,2021-05-06T23:59:59.999000+00:00,63006.27686263,63912.21668485,59991.23659192,61347.25823889,61951.726638385
1620345600000,2021-05-07T00:00:00+00:00,1620431999999,2021-05-07T23:59:59.999000+00:00,61347.25823889,64181.48866566,59958.56802323,62289.64336717,62070.028344445
1620432000000,2021-05-08T00:00:00+00:00,1620518399999,2021-05-08T23:59:59.999000+00:00,62289.64336717,65254.48860152,61885.77655404,64606.25593283,63570.13257778
1620518400000,2021-05-09T00:00:00+00:00,1620604799999,2021-05-09T23:59:59.999000+00:00,64604.11047828,64997.07151061,61255.5887096,63630.13033687,63126.330110105
