open_time_ms,open_time,close_time_ms,close_time,mark_open,mark_high,mark_low,mark_close,mark_hl2
1609459200000,2021-01-01T00:00:00+00:00,1609545599999,2021-01-01T23:59:59.999000+00:00,30969.76638611,31778.35690505,30641.61964874,31323.0553197,31209.988276895
1609545600000,2021-01-02T00:00:00+00:00,1609631999999,2021-01-02T23:59:59.999000+00:00,31323.0553197,35766.06485051,30960.85067374,34645.06936919,33363.457762125
1609632000000,2021-01-03T00:00:00+00:00,1609718399999,2021-01-03T23:59:59.999000+00:00,34649.43300556,37655.00633712,34461.67386818,35902.631525,36058.34010265
1609718400000,2021-01-04T00:00:00+00:00,1609804799999,2021-01-04T23:59:59.999000+00:00,35902.50425227,36583.72979419,31088.6792,34704.45322146,33836.204497095
1609804800000,2021-01-05T00:00:00+00:00,1609891199999,2021-01-05T23:59:59.999000+00:00,34703.74413056,37360.61043561,32501.21159762,36965.36790682,34930.911016615
1609891200000,2021-01-06T00:00:00+00:00,1609977599999,2021-01-06T23:59:59.999000+00:00,36957.22790682,40441.39656692,36311.05694621,40321.89107955,38376.226756564996
1609977600000,2021-01-07T00:00:00+00:00,1610063999999,2021-01-07T23:59:59.999000+00:00,40319.36380682,44010.92559949,39855.95466035,43178.57245101,41933.440129919996
1610064000000,2021-01-08T00:00:00+00:00,1610150399999,2021-01-08T23:59:59.999000+00:00,43181.67972374,45975.63448611,39913.57659192,44159.01272197,42944.605539015
1610150400000,2021-01-09T00:00:00+00:00,1610236799999,2021-01-09T23:59:59.999000+00:00,44156.74426742,44623.94325253,42100.55294444,43341.87173384,43362.248098485
1610236800000,2021-01-10T00:00:00+00:00,1610323199999,2021-01-10T23:59:59.999000+00:00,43338.1972202,44833.47955455,37625.43462222,40938.55400606,41229.457088384996
1610323200000,2021-01-11T00:00:00+00:00,1610409599999,2021-01-11T23:59:59.999000+00:00,40936.61582424,41023.49448409,32740.53127929,37835.37707146,36882.012881689996
1610409600000,2021-01-12T00:00:00+00:00,1610495999999,2021-01-12T23:59:59.999000+00:00,37816.6734351,39335.68512197,34890.02670101,36479.80031338,37112.85591149
1610496000000,2021-01-13T00:00:00+00:00,1610582399999,2021-01-13T23:59:59.999000+00:00,36475.18576793,40486.64685202,34658.79263813,40191.19508081,37572.719745074995
1610582400000,2021-01-14T00:00:00+00:00,1610668799999,2021-01-14T23:59:59.999000+00:00,40193.55626263,43176.90031843,39701.76632071,42375.35669268,41439.333319569996
1610668800000,2021-01-15T00:00:00+00:00,1610755199999,2021-01-15T23:59:59.999000+00:00,42365.09669268,43007.25237525,37281.66182045,39462.61374571,40144.45709785
1610755200000,2021-01-16T00:00:00+00:00,1610841599999,2021-01-16T23:59:59.999000+00:00,39462.61374571,40730.30913662,38016.70964015,38760.45438712,39373.509388385006
1610841600000,2021-01-17T00:00:00+00:00,1610927999999,2021-01-17T23:59:59.999000+00:00,38754.08997854,39404.15023258,36101.7758548,38385.34082854,37752.963043690004
1610928000000,2021-01-18T00:00:00+00:00,1611014399999,2021-01-18T23:59:59.999000+00:00,38385.34082854,40187.17505556,37170.96691667,39462.63750025,38679.070986114995
1611014400000,2021-01-19T00:00:00+00:00,1611100799999,2021-01-19T23:59:59.999000+00:00,39462.64840934,40999.06763081,38642.79513258,38642.79513258,39820.931381695
1611100800000,2021-01-20T00:00:00+00:00,1611187199999,2021-01-20T23:59:59.999000+00:00,38653.47331439,39140.25752172,35473.75047222,37832.38162702,37307.00399697
1611187200000,2021-01-21T00:00:00+00:00,1611273599999,2021-01-21T23:59:59.999000+00:00,37833.4234452,37954.60202803,31515.22156086,32349.54992854,34734.911794445
1611273600000,2021-01-22T00:00:00+00:00,1611359999999,2021-01-22T23:59:59.999000+00:00,32350.11901944,35707.68416111,30407.31888889,34920.7834786,33057.501525
1611360000000,2021-01-23T00:00:00+00:00,1611446399999,2021-01-23T23:59:59.999000+00:00,34909.27984224,35497.53693384,33198.5245601,34011.25595303,34348.03074697
1611446400000,2021-01-24T00:00:00+00:00,1611532799999,2021-01-24T23:59:59.999000+00:00,34011.25595303,35255.17709268,32699.74434571,34186.50761439,33977.460719195005
1611532800000,2021-01-25T00:00:00+00:00,1611619199999,2021-01-25T23:59:59.999000+00:00,34198.27125076,37261.37768308,33910.41775505,34163.26465354,35585.897719065004
1611619200000,2021-01-26T00:00:00+00:00,1611705599999,2021-01-26T23:59:59.999000+00:00,34159.77556263,34726.71250909,32364.81189899,34221.01883864,33545.76220404
