open_time_ms,open_time,close_time_ms,close_time,open,high,low,close,hl2_mid,volume
1609459200000,2021-01-01T00:00:00+00:00,1609545599999,2021-01-01T23:59:59.999000+00:00,28923.63,29600.0,28624.57,29331.69,29112.285,54182.925011
1609545600000,2021-01-02T00:00:00+00:00,1609631999999,2021-01-02T23:59:59.999000+00:00,29331.7,33300.0,28946.53,32178.33,31123.265,129993.873362
1609632000000,2021-01-03T00:00:00+00:00,1609718399999,2021-01-03T23:59:59.999000+00:00,32176.45,34778.11,31962.99,33000.05,33370.55,120957.56675
1609718400000,2021-01-04T00:00:00+00:00,1609804799999,2021-01-04T23:59:59.999000+00:00,33000.05,33600.0,28130.0,31988.71,30865.0,140899.88569
1609804800000,2021-01-05T00:00:00+00:00,1609891199999,2021-01-05T23:59:59.999000+00:00,31989.75,34360.0,29900.0,33949.53,32130.0,116049.997038
1609891200000,2021-01-06T00:00:00+00:00,1609977599999,2021-01-06T23:59:59.999000+00:00,33949.53,36939.21,33288.0,36769.36,35113.604999999996,127139.20131
1609977600000,2021-01-07T00:00:00+00:00,1610063999999,2021-01-07T23:59:59.999000+00:00,36769.36,40365.0,36300.0,39432.28,38332.5,132825.700437
1610064000000,2021-01-08T00:00:00+00:00,1610150399999,2021-01-08T23:59:59.999000+00:00,39432.48,41950.0,36500.0,40582.81,39225.0,139789.957499
1610150400000,2021-01-09T00:00:00+00:00,1610236799999,2021-01-09T23:59:59.999000+00:00,40586.96,41380.0,38720.0,40088.22,40050.0,75785.979675
1610236800000,2021-01-10T00:00:00+00:00,1610323199999,2021-01-10T23:59:59.999000+00:00,40088.22,41350.0,35111.11,38150.02,38230.555,118209.544503
1610323200000,2021-01-11T00:00:00+00:00,1610409599999,2021-01-11T23:59:59.999000+00:00,38150.02,38264.74,30420.0,35404.47,34342.369999999995,251156.138287
1610409600000,2021-01-12T00:00:00+00:00,1610495999999,2021-01-12T23:59:59.999000+00:00,35410.37,36628.0,32531.0,34051.24,34579.5,133948.151996
