funding_time_ms,funding_time,funding_rate
1612108800002,2021-01-31T16:00:00.002000+00:00,0.0001
1612137600000,2021-02-01T00:00:00+00:00,0.0001
1612166400000,2021-02-01T08:00:00+00:00,0.00027317
1612195200000,2021-02-01T16:00:00+00:00,0.00036146
1612224000000,2021-02-02T00:00:00+00:00,0.00014641
1612252800000,2021-02-02T08:00:00+00:00,0.00026771
1612281600005,2021-02-02T16:00:00.005000+00:00,0.00079074
1612310400000,2021-02-03T00:00:00+00:00,0.00054936
1612339200006,2021-02-03T08:00:00.006000+00:00,0.00056942
1612368000006,2021-02-03T16:00:00.006000+00:00,0.00071096
1612396800007,2021-02-04T00:00:00.007000+00:00,0.00042635
1612425600000,2021-02-04T08:00:00+00:00,0.0006047
1612454400000,2021-02-04T16:00:00+00:00,0.00018551
1612483200000,2021-02-05T00:00:00+00:00,0.00035471
1612512000002,2021-02-05T08:00:00.002000+00:00,0.00072149
1612540800000,2021-02-05T16:00:00+00:00,0.00060249
1612569600014,2021-02-06T00:00:00.014000+00:00,0.00012548
1612598400000,2021-02-06T08:00:00+00:00,0.00077439
1612627200005,2021-02-06T16:00:00.005000+00:00,0.0007776
1612656000000,2021-02-07T00:00:00+00:00,0.00132568
1612684800000,2021-02-07T08:00:00+00:00,0.00035775
1612713600000,2021-02-07T16:00:00+00:00,0.00078463
1612742400011,2021-02-08T00:00:00.011000+00:00,0.00018802
1612771200001,2021-02-08T08:00:00.001000+00:00,0.00040894
1612800000000,2021-02-08T16:00:00+00:00,0.00183652
1612828800011,2021-02-09T00:00:00.011000+00:00,0.0009463
1612857600006,2021-02-09T08:00:00.006000+00:00,0.00104251
1612886400007,2021-02-09T16:00:00.007000+00:00,0.00082886
1612915200000,2021-02-10T00:00:00+00:00,0.00067753
1612944000014,2021-02-10T08:00:00.014000+00:00,0.00140608
1612972800005,2021-02-10T16:00:00.005000+00:00,0.00064276
1613001600015,2021-02-11T00:00:00.015000+00:00,0.00057864
1613030400011,2021-02-11T08:00:00.011000+00:00,0.00050921
1613059200000,2021-02-11T16:00:00+00:00,0.00151076
1613088000007,2021-02-12T00:00:00.007000+00:00,0.00087444
1613116800005,2021-02-12T08:00:00.005000+00:00,0.00068784
