open_time_ms,open_time,close_time_ms,close_time,mark_open,mark_high,mark_low,mark_close,mark_hl2
1609459200000,2021-01-01T00:00:00+00:00,1609545599999,2021-01-01T23:59:59.999000+00:00,30059.08668434,30870.91185455,29726.34235076,30428.93976162,30298.627102655
1609545600000,2021-01-02T00:00:00+00:00,1609631999999,2021-01-02T23:59:59.999000+00:00,30428.93976162,34678.85760101,30038.14101061,33577.82830253,32358.49930581
1609632000000,2021-01-03T00:00:00+00:00,1609718399999,2021-01-03T23:59:59.999000+00:00,33584.3210298,36388.86967298,33384.36415505,34792.95893157,34886.616914015
1609718400000,2021-01-04T00:00:00+00:00,1609804799999,2021-01-04T23:59:59.999000+00:00,34791.94256793,35398.09238586,30027.64709667,33502.79025682,32712.869741265
1609804800000,2021-01-05T00:00:00+00:00,1609891199999,2021-01-05T23:59:59.999000+00:00,33502.08116591,36005.51376389,31376.64055457,35611.73021742,33691.07715923
1609891200000,2021-01-06T00:00:00+00:00,1609977599999,2021-01-06T23:59:59.999000+00:00,35603.59021742,38853.91013763,34950.91945379,38718.17675126,36902.41479571
1609977600000,2021-01-07T00:00:00+00:00,1610063999999,2021-01-07T23:59:59.999000+00:00,38715.64947854,42242.29756667,38228.95761111,41457.90871364,40235.62758889
1610064000000,2021-01-08T00:00:00+00:00,1610150399999,2021-01-08T23:59:59.999000+00:00,41461.01598636,44229.45883864,38301.18413333,42409.59070884,41265.321485985
1610150400000,2021-01-09T00:00:00+00:00,1610236799999,2021-01-09T23:59:59.999000+00:00,42407.32225429,43248.59221212,40507.24881313,42024.29151162,41877.920512625
1610236800000,2021-01-10T00:00:00+00:00,1610323199999,2021-01-10T23:59:59.999000+00:00,42020.63269242,43504.91049394,36630.8248851,39785.91808434,40067.867689520004
1610323200000,2021-01-11T00:00:00+00:00,1610409599999,2021-01-11T23:59:59.999000+00:00,39783.97990253,39870.97245126,32073.89669066,37055.56222803,35972.43457096
1610409600000,2021-01-12T00:00:00+00:00,1610495999999,2021-01-12T23:59:59.999000+00:00,37036.85859167,38360.98361187,34099.91901667,35636.9424851,36230.45131427
1610496000000,2021-01-13T00:00:00+00:00,1610582399999,2021-01-13T23:59:59.999000+00:00,35632.32793965,39602.33933434,33852.68228965,39215.78628283,36727.510811995
1610582400000,2021-01-14T00:00:00+00:00,1610668799999,2021-01-14T23:59:59.999000+00:00,39218.14746465,42012.04061136,38717.04808586,41159.40928359,40364.54434861
1610668800000,2021-01-15T00:00:00+00:00,1610755199999,2021-01-15T23:59:59.999000+00:00,41149.14928359,41792.85172121,36271.24609621,38393.88041919,39032.04890871
1610755200000,2021-01-16T00:00:00+00:00,1610841599999,2021-01-16T23:59:59.999000+00:00,38388.43678283,39598.56183561,36940.02394318,37624.98209621,38269.292889395
1610841600000,2021-01-17T00:00:00+00:00,1610927999999,2021-01-17T23:59:59.999000+00:00,37618.54103359,38439.28494369,35281.36578662,37442.8677101,36860.325365155004
1610928000000,2021-01-18T00:00:00+00:00,1611014399999,2021-01-18T23:59:59.999000+00:00,37442.8677101,39199.72942172,36246.32555051,38434.39773333,37723.027486115
1611014400000,2021-01-19T00:00:00+00:00,1611100799999,2021-01-19T23:59:59.999000+00:00,38434.40864242,39902.10597424,37566.04558965,37566.04558965,38734.075781945
1611100800000,2021-01-20T00:00:00+00:00,1611187199999,2021-01-20T23:59:59.999000+00:00,37576.72377146,38081.8750149,34510.89725379,36734.56726717,36296.386134345
1611187200000,2021-01-21T00:00:00+00:00,1611273599999,2021-01-21T23:59:59.999000+00:00,36734.95817626,36855.35420455,30742.98378409,31563.83715581,33799.16899432
1611273600000,2021-01-22T00:00:00+00:00,1611359999999,2021-01-22T23:59:59.999000+00:00,31564.40624672,34744.75686313,29711.41324167,33970.27871284,32228.0850524
1611360000000,2021-01-23T00:00:00+00:00,1611446399999,2021-01-23T23:59:59.999000+00:00,33953.08053102,34562.88471187,32414.06612576,33146.39582677,33488.475418815
1611446400000,2021-01-24T00:00:00+00:00,1611532799999,2021-01-24T23:59:59.999000+00:00,33146.39582677,34273.24691843,31835.50735884,33269.51610429,33054.377138635
1611532800000,2021-01-25T00:00:00+00:00,1611619199999,2021-01-25T23:59:59.999000+00:00,33281.27974066,36181.473125,32914.28252273,33237.81746667,34547.877823865
1611619200000,2021-01-26T00:00:00+00:00,1611705599999,2021-01-26T23:59:59.999000+00:00,33234.32837576,33781.16075278,31538.91885934,33344.82113157,32660.03980606
1611705600000,2021-01-27T00:00:00+00:00,1611791999999,2021-01-27T23:59:59.999000+00:00,33346.15200025,33413.08369268,29764.18208106,30952.19705101,31588.63288687
1611792000000,2021-01-28T00:00:00+00:00,1611878399999,2021-01-28T23:59:59.999000+00:00,30942.37168737,34507.57967753,30416.18302904,34121.27404722,32461.881353284996
1611878400000,2021-01-29T00:00:00+00:00,1611964799999,2021-01-29T23:59:59.999000+00:00,34138.30131995,40144.65878788,32774.34038106,35370.36181061,36459.49958447
1611964800000,2021-01-30T00:00:00+00:00,1612051199999,2021-01-30T23:59:59.999000+00:00,35370.34417677,35985.93191089,33577.3228346,35155.45121515,34781.627372745
1612051200000,2021-01-31T00:00:00+00:00,1612137599999,2021-01-31T23:59:59.999000+00:00,35155.12576061,35218.31570379,32850.95671667,33876.39659697,34034.636210230005
1612137600000,2021-02-01T00:00:00+00:00,1612223999999,2021-02-01T23:59:59.999000+00:00,33876.99296061,35795.24438838,33053.47473563,34430.28108561,34424.359562005004
1612224000000,2021-02-02T00:00:00+00:00,1612310399999,2021-02-02T23:59:59.999000+00:00,34430.28108561,37338.3071197,34342.88885682,36851.02219596,35840.59798826
1612310400000,2021-02-03T00:00:00+00:00,1612396799999,2021-02-03T23:59:59.999000+00:00,36847.46501414,39341.02711313,36740.05911667,39312.92108712,38040.54311490001
1612396800000,2021-02-04T00:00:00+00:00,1612483199999,2021-02-04T23:59:59.999000+00:00,39312.93643182,40540.35723535,37775.66785845,38599.50300732,39158.0125469
1612483200000,2021-02-05T00:00:00+00:00,1612569599999,2021-02-05T23:59:59.999000+00:00,38594.92300732,40134.73518283,38199.67332146,39890.45121894,39167.204252145006
1612569600000,2021-02-06T00:00:00+00:00,1612655999999,2021-02-06T23:59:59.999000+00:00,39890.45121894,42816.35890126,39831.61312904,41183.51770126,41323.98601515
1612656000000,2021-02-07T00:00:00+00:00,1612742399999,2021-02-07T23:59:59.999000+00:00,41180.24016465,41592.2837947,38640.09546717,40198.69651944,40116.189630935
1612742400000,2021-02-08T00:00:00+00:00,1612828799999,2021-02-08T23:59:59.999000+00:00,40199.05288308,48989.05550328,39397.79431843,48780.76500101,44193.424910855
1612828800000,2021-02-09T00:00:00+00:00,1612915199999,2021-02-09T23:59:59.999000+00:00,48780.76500101,50843.3082101,47539.62492251,48739.21394141,49191.466566305
1612915200000,2021-02-10T00:00:00+00:00,1613001599999,2021-02-10T23:59:59.999000+00:00,48739.21935985,49907.5511154,45909.19833561,46890.98116591,47908.374725505
1613001600000,2021-02-11T00:00:00+00:00,1613087999999,2021-02-11T23:59:59.999000+00:00,46890.98116591,51172.04908283,46004.10905631,50388.23313258,48588.07906957
1613088000000,2021-02-12T00:00:00+00:00,1613174399999,2021-02-12T23:59:59.999000+00:00,50386.08019343,51386.0627851,48504.99659444,49882.89329975,49945.52968977
1613174400000,2021-02-13T00:00:00+00:00,1613260799999,2021-02-13T23:59:59.999000+00:00,49871.81329975,50826.01805101,48372.86398409,49492.15938838,49599.44101755
1613260800000,2021-02-14T00:00:00+00:00,1613347199999,2021-02-14T23:59:59.999000+00:00,49492.15938838,52553.83995631,49377.34697652,51047.77668636,50965.593466415
1613347200000,2021-02-15T00:00:00+00:00,1613433599999,2021-02-15T23:59:59.999000+00:00,51048.07868636,51363.18537702,47879.55933485,50233.89982222,49621.372355935004
1613433600000,2021-02-16T00:00:00+00:00,1613519999999,2021-02-16T23:59:59.999000+00:00,50234.85095455,53331.1304149,49236.67651364,51407.46195833,51283.90346427
1613520000000,2021-02-17T00:00:00+00:00,1613606399999,2021-02-17T23:59:59.999000+00:00,51396.8116654,55325.38243636,51333.89430909,54778.9397803,53329.638372725
1613606400000,2021-02-18T00:00:00+00:00,1613692799999,2021-02-18T23:59:59.999000+00:00,54777.27588207,55331.30531667,53613.65926616,53926.72021313,54472.482291415
1613692800000,2021-02-19T00:00:00+00:00,1613779199999,2021-02-19T23:59:59.999000+00:00,53926.72021313,59129.54371389,53084.76533561,58351.75074571,56107.15452475
1613779200000,2021-02-20T00:00:00+00:00,1613865599999,2021-02-20T23:59:59.999000+00:00,58351.75074571,60268.68809141,56135.81557955,57968.88571944,58202.25183548
1613865600000,2021-02-21T00:00:00+00:00,1613951999999,2021-02-21T23:59:59.999000+00:00,57968.88571944,60980.68857778,57579.49295025,59827.35806742,59280.090764014996
1613952000000,2021-02-22T00:00:00+00:00,1614038399999,2021-02-22T23:59:59.999000+00:00,59827.0107947,59905.96527626,49815.08417702,55709.70798207,54860.52472664
1614038400000,2021-02-23T00:00:00+00:00,1614124799999,2021-02-23T23:59:59.999000+00:00,55732.66070934,55764.39739141,46572.92399621,50441.45201995,51168.66069381
1614124800000,2021-02-24T00:00:00+00:00,1614211199999,2021-02-24T23:59:59.999000+00:00,50438.19929268,52819.93212374,48577.44577186,51005.13167904,50698.6889478
1614211200000,2021-02-25T00:00:00+00:00,1614297599999,2021-02-25T23:59:59.999000+00:00,51007.06986086,53396.2358947,47682.28004949,48029.85637045,50539.257972095
